sim_id,students,coffee_machines,avg_wait_time,missed_coffee,no_attempts,total_attempts,avg_idle_time
145,30,2,6.266666666666667,17,15,18,73.5
146,30,2,16.692307692307693,13,17,15,65.5
147,30,2,8.071428571428571,12,16,20,71.0
148,30,2,10.2,16,15,17,72.5
149,30,2,8.733333333333333,15,15,18,70.5
150,30,2,6.571428571428571,19,16,15,70.5
151,30,2,14.153846153846153,17,17,15,65.5
152,30,2,10.071428571428571,18,16,16,70.5
153,30,2,11.642857142857142,13,16,18,72.5
154,30,2,10.571428571428571,13,16,18,69.5
155,30,2,10.733333333333333,17,15,18,72.5
156,30,2,12.25,16,14,18,70.5
157,30,2,11.615384615384615,16,17,14,70.5
158,30,2,11.76923076923077,17,17,13,72.5
159,30,2,13.25,16,18,13,69.0
160,30,2,11.375,14,14,18,70.0
161,30,2,10.153846153846153,16,17,15,69.5
162,30,2,9.928571428571429,17,16,15,67.5
163,30,2,14.307692307692308,17,17,15,70.0
164,30,2,13.75,16,18,12,66.5
165,30,2,11.923076923076923,17,17,13,67.0
166,30,2,12.75,12,14,18,70.0
167,30,2,12.5625,14,14,17,70.0
168,30,2,12.8125,14,14,21,72.5
169,30,2,10.0,14,15,15,71.0
170,30,2,4.538461538461538,17,17,13,72.0
171,30,2,8.909090909090908,16,19,13,69.0
172,30,2,10.0625,14,14,17,68.5
173,30,2,10.363636363636363,16,19,12,68.0
174,30,2,11.6,12,15,18,69.5
175,30,2,10.785714285714286,13,16,17,69.0
176,30,2,10.357142857142858,15,16,16,69.0
177,30,2,12.714285714285714,14,16,18,71.0
178,30,2,12.266666666666667,15,15,15,68.0
179,30,2,8.615384615384615,17,17,16,71.0
180,30,2,11.3125,13,14,20,72.0
181,30,2,9.0,16,18,13,69.0
182,30,2,11.692307692307692,18,17,15,70.5
183,30,2,7.363636363636363,16,19,12,70.0
184,30,2,10.076923076923077,16,17,15,69.0
185,30,2,13.5,17,18,15,70.0
186,30,2,6.166666666666667,18,18,15,67.0
187,30,2,14.357142857142858,16,16,15,71.5
188,30,2,15.0,14,18,16,69.5
189,30,2,14.090909090909092,16,19,11,68.0
190,30,2,12.071428571428571,14,16,16,69.0
191,30,2,7.923076923076923,15,17,15,70.0
192,30,2,7.466666666666667,12,15,18,73.0
193,30,2,14.5,14,16,20,71.5
194,30,2,11.5,17,16,15,70.5
195,30,2,9.928571428571429,17,16,15,68.5
196,30,2,4.333333333333333,18,18,14,71.5
197,30,2,13.25,14,18,13,67.0
198,30,2,13.76923076923077,15,17,15,68.0
199,30,2,7.714285714285714,16,16,14,71.0
200,30,3,9.35,11,10,24,68.33333333333333
201,30,3,11.722222222222221,11,12,22,71.33333333333333
202,30,3,9.157894736842104,11,11,23,71.66666666666667
203,30,3,7.3,11,10,26,71.66666666666667
204,30,3,5.8,12,10,25,73.0
205,30,3,6.0,15,13,20,69.33333333333333
206,30,3,4.684210526315789,12,11,26,69.66666666666667
207,30,3,7.529411764705882,14,13,21,69.66666666666667
208,30,3,7.833333333333333,11,12,24,69.0
209,30,3,3.2,12,10,25,70.0
210,30,3,8.263157894736842,12,11,22,70.33333333333333
211,30,3,5.0,15,15,21,69.33333333333333
212,30,3,7.722222222222222,13,12,24,71.66666666666667
213,30,3,3.888888888888889,13,12,20,68.33333333333333
214,30,3,8.05,11,10,24,72.66666666666667
215,30,3,10.631578947368421,12,11,21,71.66666666666667
216,30,3,8.055555555555555,11,12,21,68.33333333333333
217,30,3,6.473684210526316,11,11,25,70.33333333333333
218,30,3,9.333333333333334,6,9,30,73.66666666666667
219,30,3,9.0,11,11,26,72.66666666666667
220,30,3,5.0625,13,14,19,69.66666666666667
221,30,3,5.222222222222222,15,12,22,70.33333333333333
222,30,3,9.0,11,13,23,70.0
223,30,3,5.166666666666667,14,12,21,69.66666666666667
224,30,3,7.235294117647059,13,13,21,70.66666666666667
225,30,3,4.888888888888889,13,12,23,70.0
226,30,3,8.777777777777779,11,12,24,72.33333333333333
227,30,3,5.25,13,14,20,70.33333333333333
228,30,3,9.058823529411764,15,13,21,68.33333333333333
229,30,3,7.7368421052631575,12,11,25,70.66666666666667
230,30,3,5.944444444444445,9,12,23,71.0
231,30,3,9.666666666666666,12,12,23,70.33333333333333
232,30,3,6.578947368421052,11,11,24,69.66666666666667
233,30,3,5.473684210526316,13,11,22,72.0
234,30,3,6.705882352941177,11,13,23,69.0
235,30,3,6.2105263157894735,13,11,23,69.66666666666667
236,30,3,4.7894736842105265,13,11,23,71.66666666666667
237,30,3,8.333333333333334,13,15,19,70.33333333333333
238,30,3,3.8125,15,14,18,71.0
239,30,3,5.722222222222222,14,12,23,71.66666666666667
240,30,3,11.6,14,15,19,69.66666666666667
241,30,3,8.0,13,13,21,69.33333333333333
242,30,3,5.611111111111111,12,12,21,71.0
243,30,3,8.157894736842104,12,11,21,68.0
244,30,3,4.15,11,10,25,70.66666666666667
245,30,3,6.315789473684211,12,11,23,74.0
246,30,3,8.736842105263158,13,11,24,70.33333333333333
247,30,3,9.631578947368421,11,11,24,71.33333333333333
248,30,3,5.666666666666667,14,12,25,70.66666666666667
249,30,3,4.9411764705882355,13,13,20,66.66666666666667
250,30,3,6.5,6,10,29,69.0
251,30,3,9.736842105263158,12,11,23,70.33333333333333
252,30,3,13.11111111111111,14,12,22,70.66666666666667
253,30,3,6.466666666666667,15,15,22,72.66666666666667
254,30,3,6.666666666666667,10,9,27,69.66666666666667
255,30,3,6.333333333333333,12,12,24,69.33333333333333
256,30,3,12.666666666666666,12,15,17,67.33333333333333
257,30,3,10.352941176470589,14,13,22,69.0
258,30,3,4.823529411764706,12,13,22,67.66666666666667
259,30,3,5.5,14,12,21,69.66666666666667
260,30,3,6.388888888888889,9,12,25,70.33333333333333
261,30,3,8.052631578947368,10,11,24,70.0
262,30,3,7.125,12,14,21,67.0
263,30,3,5.526315789473684,11,11,27,71.66666666666667
264,30,3,8.722222222222221,11,12,24,68.66666666666667
265,30,3,4.0,12,12,28,69.0
266,30,3,6.0,9,13,26,71.0
267,30,3,4.947368421052632,10,11,23,67.0
268,30,3,4.529411764705882,14,13,21,69.66666666666667
269,30,3,9.75,15,14,19,71.33333333333333
270,30,3,5.722222222222222,13,12,22,70.0
271,30,3,7.722222222222222,11,12,22,70.66666666666667
272,30,3,7.722222222222222,12,12,20,70.0
273,30,3,6.611111111111111,16,12,21,68.33333333333333
274,30,3,4.5,13,12,21,70.0
275,30,3,7.647058823529412,13,13,22,68.66666666666667
276,30,3,4.611111111111111,10,12,21,71.0
277,30,3,9.058823529411764,14,13,20,72.33333333333333
278,30,3,10.055555555555555,14,12,22,69.0
279,30,3,8.0,12,10,22,71.0
280,30,3,7.6,13,15,20,69.66666666666667
281,30,3,8.176470588235293,14,13,23,69.0
282,30,3,7.15,9,10,28,70.66666666666667
283,30,3,11.166666666666666,9,12,21,70.66666666666667
284,30,3,10.894736842105264,11,11,24,73.0
285,30,3,3.4210526315789473,13,11,24,70.66666666666667
286,30,3,7.15,14,10,25,65.0
287,30,3,7.888888888888889,11,12,22,67.66666666666667
288,30,3,7.0476190476190474,9,9,28,71.33333333333333
289,30,3,11.722222222222221,10,12,26,69.33333333333333
290,30,3,9.833333333333334,13,12,22,70.66666666666667
291,30,3,10.210526315789474,12,11,23,71.66666666666667
292,30,3,7.7894736842105265,10,11,26,71.66666666666667
293,30,3,7.9375,12,14,21,69.66666666666667
294,30,3,7.9375,13,14,22,71.66666666666667
295,30,3,9.0,11,11,26,70.66666666666667
296,30,3,6.875,12,14,20,70.33333333333333
297,30,3,6.315789473684211,14,11,25,71.0
298,30,3,6.65,11,10,27,72.33333333333333
299,30,3,3.9444444444444446,15,12,19,67.66666666666667
300,30,4,3.95,11,10,30,68.5
301,30,4,5.526315789473684,10,11,24,68.5
302,30,4,5.4,7,10,29,71.25
303,30,4,5.15,6,10,31,70.75
304,30,4,7.6,8,10,31,71.5
305,30,4,6.095238095238095,9,9,30,72.25
306,30,4,5.2105263157894735,9,11,27,71.0
307,30,4,3.263157894736842,10,11,27,70.75
308,30,4,5.619047619047619,5,9,31,70.25
309,30,4,6.571428571428571,9,9,27,70.25
310,30,4,5.9,10,10,27,70.5
311,30,4,4.631578947368421,8,11,29,71.0
312,30,4,2.7,8,10,29,71.25
313,30,4,3.7222222222222223,10,12,25,70.5
314,30,4,4.3,9,10,29,70.0
315,30,4,3.4,9,10,28,70.0
316,30,4,6.315789473684211,8,11,25,68.0
317,30,4,6.857142857142857,7,9,31,70.25
318,30,4,4.238095238095238,11,9,30,70.75
319,30,4,5.25,8,10,29,71.75
320,30,4,4.0,10,11,24,68.0
321,30,4,3.15,8,10,27,72.25
322,30,4,6.476190476190476,8,9,31,70.0
323,30,4,6.190476190476191,10,9,29,69.75
324,30,4,5.1,7,10,29,71.5
325,30,4,4.0,8,9,28,70.75
326,30,4,3.857142857142857,12,9,27,69.75
327,30,4,6.411764705882353,8,13,25,71.75
328,30,4,4.95,11,10,30,70.75
329,30,4,5.9,13,10,26,69.5
330,30,4,5.714285714285714,7,9,32,67.75
331,30,4,3.8947368421052633,9,11,25,69.5
332,30,4,3.2857142857142856,14,9,24,71.25
333,30,4,9.142857142857142,9,9,30,70.5
334,30,4,2.526315789473684,11,11,23,71.75
335,30,4,4.1,7,10,29,72.0
336,30,4,6.105263157894737,12,11,28,70.75
337,30,4,4.842105263157895,11,11,28,70.75
338,30,4,14.7,8,10,26,69.75
339,30,4,6.571428571428571,7,9,31,69.25
340,30,4,4.428571428571429,9,9,29,71.75
341,30,4,5.15,7,10,25,69.75
342,30,4,4.904761904761905,5,9,38,71.75
343,30,4,7.523809523809524,7,9,28,69.25
344,30,4,4.9523809523809526,5,9,33,69.5
345,30,4,2.9047619047619047,8,9,31,70.5
346,30,4,8.526315789473685,7,11,25,71.75
347,30,4,5.5,8,10,27,71.0
348,30,4,7.4,10,10,29,70.25
349,30,4,5.571428571428571,10,9,34,72.0
350,30,4,5.571428571428571,12,9,29,71.5
351,30,4,6.45,12,10,25,69.0
352,30,4,4.823529411764706,8,13,26,72.0
353,30,4,4.947368421052632,13,11,24,69.75
354,30,4,4.473684210526316,10,11,27,71.0
355,30,4,8.31578947368421,8,11,28,70.75
356,30,4,4.947368421052632,12,11,27,70.0
357,30,4,3.736842105263158,14,11,22,69.75
358,30,4,5.190476190476191,9,9,30,70.75
359,30,4,4.809523809523809,6,9,31,70.75
360,30,4,6.809523809523809,8,9,29,71.25
361,30,4,8.0,9,9,33,71.75
362,30,4,4.2,6,10,31,70.5
363,30,4,4.714285714285714,8,9,30,70.5
364,30,4,5.526315789473684,14,11,28,70.5
365,30,4,5.55,9,10,30,71.75
366,30,4,3.4761904761904763,9,9,26,70.5
367,30,4,4.523809523809524,14,9,30,67.75
368,30,4,2.4761904761904763,10,9,25,70.5
369,30,4,5.8,8,10,31,70.25
370,30,4,6.142857142857143,9,9,29,68.75
371,30,4,4.5,10,10,27,69.75
372,30,4,6.095238095238095,7,9,32,72.75
373,30,4,4.904761904761905,3,9,35,71.25
374,30,4,5.142857142857143,6,9,35,71.25
375,30,4,2.7222222222222223,8,12,24,71.0
376,30,4,5.2631578947368425,10,11,25,71.25
377,30,4,6.142857142857143,0,9,38,73.25
378,30,4,4.526315789473684,8,11,27,68.75
379,30,4,4.904761904761905,6,9,31,69.5
380,30,4,8.210526315789474,10,11,27,69.5
381,30,4,4.904761904761905,5,9,25,71.5
382,30,4,11.095238095238095,6,9,35,70.25
383,30,4,3.45,6,10,31,71.0
384,30,4,5.6,6,10,31,71.25
385,30,4,5.4,6,10,29,70.75
386,30,4,6.333333333333333,7,9,29,69.75
387,30,4,3.619047619047619,13,9,30,71.75
388,30,4,4.476190476190476,7,9,30,70.75
389,30,4,5.1,8,10,28,71.25
390,30,4,4.25,7,10,29,71.0
391,30,4,4.333333333333333,13,9,25,70.25
392,30,4,5.05,7,10,27,70.0
393,30,4,4.95,7,10,26,70.5
394,30,4,3.95,6,10,31,68.75
395,30,4,5.8,9,10,32,71.25
396,30,4,5.894736842105263,10,11,23,68.25
397,30,4,4.904761904761905,10,9,29,69.5
398,30,4,8.117647058823529,11,13,23,69.5
399,30,4,2.0476190476190474,7,9,26,69.75
400,30,5,3.4285714285714284,2,9,37,70.8
401,30,5,2.3333333333333335,6,9,33,71.6
402,30,5,3.473684210526316,8,11,28,70.8
403,30,5,3.0,2,9,29,66.2
404,30,5,3.238095238095238,7,9,33,70.8
405,30,5,3.15,7,10,34,69.6
406,30,5,2.1904761904761907,8,9,31,71.6
407,30,5,2.05,7,10,32,70.2
408,30,5,1.5238095238095237,6,9,33,69.0
409,30,5,3.95,4,10,32,67.8
410,30,5,4.761904761904762,3,9,33,70.6
411,30,5,1.5714285714285714,2,9,36,71.4
412,30,5,2.142857142857143,0,9,39,70.6
413,30,5,3.8095238095238093,8,9,31,69.6
414,30,5,2.6666666666666665,5,9,35,71.2
415,30,5,2.8095238095238093,6,9,35,69.4
416,30,5,3.7142857142857144,5,9,29,69.8
417,30,5,2.5,6,10,28,70.2
418,30,5,1.9523809523809523,5,9,31,69.8
419,30,5,4.428571428571429,5,9,35,71.8
420,30,5,3.619047619047619,6,9,39,71.2
421,30,5,3.6666666666666665,0,9,41,70.4
422,30,5,2.761904761904762,3,9,40,68.8
423,30,5,3.9047619047619047,0,9,37,68.8
424,30,5,1.4285714285714286,6,9,35,69.8
425,30,5,3.238095238095238,2,9,39,71.4
426,30,5,3.05,2,10,31,72.8
427,30,5,3.0476190476190474,8,9,32,69.6
428,30,5,2.7142857142857144,8,9,32,70.4
429,30,5,1.3333333333333333,7,9,31,70.0
430,30,5,4.619047619047619,2,9,36,72.4
431,30,5,7.0,2,9,36,71.4
432,30,5,5.619047619047619,6,9,34,69.8
433,30,5,2.3333333333333335,5,9,31,71.4
434,30,5,3.45,5,10,29,70.4
435,30,5,5.0476190476190474,3,9,33,70.6
436,30,5,4.0476190476190474,6,9,29,68.0
437,30,5,4.0476190476190474,4,9,34,72.2
438,30,5,3.2857142857142856,3,9,35,69.8
439,30,5,3.2857142857142856,5,9,28,71.2
440,30,5,2.9523809523809526,6,9,29,69.6
441,30,5,3.3333333333333335,8,9,30,70.0
442,30,5,3.238095238095238,4,9,38,71.0
443,30,5,2.7142857142857144,4,9,32,71.4
444,30,5,4.761904761904762,8,9,35,70.4
445,30,5,3.3,7,10,29,70.8
446,30,5,4.333333333333333,0,9,38,69.8
447,30,5,3.4285714285714284,8,9,29,71.8
448,30,5,3.5714285714285716,7,9,35,71.2
449,30,5,4.476190476190476,5,9,33,70.8
450,30,5,2.9047619047619047,0,9,42,69.8
451,30,5,3.0476190476190474,1,9,34,65.8
452,30,5,4.947368421052632,7,11,29,69.4
453,30,5,2.6666666666666665,3,9,37,65.0
454,30,5,1.6666666666666667,3,9,34,71.0
455,30,5,4.523809523809524,9,9,30,70.2
456,30,5,4.4,6,10,32,70.0
457,30,5,4.333333333333333,6,9,32,72.2
458,30,5,2.9047619047619047,6,9,30,70.6
459,30,5,5.571428571428571,5,9,35,72.0
460,30,5,3.0952380952380953,0,9,38,71.2
461,30,5,3.9047619047619047,2,9,36,72.2
462,30,5,4.714285714285714,4,9,34,71.6
463,30,5,3.238095238095238,2,9,35,70.6
464,30,5,2.4761904761904763,9,9,32,69.6
465,30,5,4.75,3,10,31,72.4
466,30,5,1.8571428571428572,0,9,35,66.6
467,30,5,3.857142857142857,6,9,34,71.4
468,30,5,3.0952380952380953,2,9,34,73.4
469,30,5,3.473684210526316,9,11,29,70.2
470,30,5,5.0476190476190474,7,9,34,70.4
471,30,5,2.4761904761904763,3,9,35,70.0
472,30,5,5.619047619047619,7,9,33,70.6
473,30,5,3.0952380952380953,8,9,34,70.2
474,30,5,2.761904761904762,0,9,35,72.8
475,30,5,2.761904761904762,3,9,36,70.6
476,30,5,2.857142857142857,5,9,33,71.2
477,30,5,4.285714285714286,5,9,34,71.0
478,30,5,2.619047619047619,3,9,35,69.6
479,30,5,4.238095238095238,12,9,32,70.6
480,30,5,1.9523809523809523,7,9,30,70.6
481,30,5,3.9523809523809526,5,9,33,72.6
482,30,5,4.0,4,10,27,71.0
483,30,5,2.1904761904761907,2,9,33,71.6
484,30,5,2.9,8,10,30,69.8
485,30,5,3.4285714285714284,2,9,36,71.4
486,30,5,3.4285714285714284,6,9,37,72.2
487,30,5,5.333333333333333,7,9,36,70.2
488,30,5,4.285714285714286,4,9,34,71.8
489,30,5,8.428571428571429,6,9,33,71.4
490,30,5,3.5714285714285716,8,9,32,69.2
491,30,5,3.5238095238095237,5,9,33,72.2
492,30,5,3.5714285714285716,5,9,34,70.6
